Title,Composer,Album,Year,Length
Aisle Talk,Rodgers & Hammerstein,The Best of the Great American Composers volume 1,1988,169
Always,Irving Berlin,The Best of the Great American Composers volume 1,1988,173
Blue Skies,Irving Berlin,The Best of the Great American Composers volume 1,1988,150
But Not Too Much,Irving Berlin,The Best of the Great American Composers volume 1,1988,213
Gigi,Lerner & Loewe,The Best of the Great American Composers volume 1,1988,234
Happy Hobo,Henry Mancini,The Best of the Great American Composers volume 1,1988,136
I Love Paris,Cole Porter,The Best of the Great American Composers volume 1,1988,250
Moon River,Henry Mancini,The Best of the Great American Composers volume 1,1988,177
Night and Day,Cole Porter,The Best of the Great American Composers volume 1,1988,187
Oklahoma,Rodgers & Hammerstein,The Best of the Great American Composers volume 1,1988,76
Portrait of You,George Gershwin,The Best of the Great American Composers volume 1,1988,181
Rhapsody in Blue,George Gershwin,The Best of the Great American Composers volume 1,1988,163
Some Enchanted Evening,Rodgers & Hammerstein,The Best of the Great American Composers volume 1,1988,305
Standing Room Only,Lerner & Loewe,The Best of the Great American Composers volume 1,1988,139
Summertime,George Gershwin,The Best of the Great American Composers volume 1,1988,259
White Tie and Tails,Cole Porter,The Best of the Great American Composers volume 1,1988,194
Guillaume Tell - Overture,Gioachino Rossini,Fiedler Greatest Hits,1991,711
Jalousie,Niels Gade,Fiedler Greatest Hits,1991,227
L'Arlésienne - Farandole,Georges Bizet,Fiedler Greatest Hits,1991,176
Light Cavalry Overture,Franz Von Suppé,Fiedler Greatest Hits,1991,405
Polovetsian Dances,Alexander Borodin,Fiedler Greatest Hits,1991,661
Pomp & Circumstance,Edward Elgar,Fiedler Greatest Hits,1991,339
Procession Of The Nobles,Nikolai Rimsky-Korsakov,Fiedler Greatest Hits,1991,274
Radetsky March,Hector Berlioz,Fiedler Greatest Hits,1991,253
Sabre Dance,Aram Khachaturian,Fiedler Greatest Hits,1991,149
Serenade For Strings,Peter Ilyich Tchaikovsky,Fiedler Greatest Hits,1991,237
Stars & Stripes Forever,John Philip Sousa,Fiedler Greatest Hits,1991,204
The Flight Of The Bumblebee,Nikolai Rimsky-Korsakov,Fiedler Greatest Hits,1991,84
The Syncopated Clock,Leroy Anderson,Fiedler Greatest Hits,1991,142
Appalachian Spring - Simple Gifts,Aaron Copland,Copland: Greatest Hits,1994,342
Billy The Kid - Celebration,Aaron Copland,Copland: Greatest Hits,1994,142
Billy The Kid - Gun Battle,Aaron Copland,Copland: Greatest Hits,1994,137
El Salón México,Aaron Copland,Copland: Greatest Hits,1994,692
Fanfare For The Common Man,Aaron Copland,Copland: Greatest Hits,1994,199
Lincoln Portrait,Aaron Copland,Copland: Greatest Hits,1994,917
Quiet City,Aaron Copland,Copland: Greatest Hits,1994,656
Red Pony - Morning On The Ranch,Aaron Copland,Copland: Greatest Hits,1994,273
Rodeo - Buckaroo Holiday,Aaron Copland,Copland: Greatest Hits,1994,423
Rodeo - Hoe Down,Aaron Copland,Copland: Greatest Hits,1994,192
The Tender Land - The Promise Of Living,Aaron Copland,Copland: Greatest Hits,1994,342
Prelude In D Flat,Frédéric Chopin,Piano By Candlelight Favorites [Disc 3],1995,313
The Rustle of Spring,Christian August Sinding,Piano By Candlelight Favorites [Disc 3],1995,166
Nocturne #2 In E Flat,Frédéric Chopin,Piano by Candlelight,1996,275
Waltz #1 In E Flat,Frédéric Chopin,Piano by Candlelight,1996,309
Symphony No. 9 (Scherzo),Ludwig van Beethoven,2 & 6 Sinfonia,1997,76
All They That See Him,George Frideric Handel,Messiah,2002,51
Behold & See,George Frideric Handel,Messiah,2002,106
Behold I Tell You A Mystery,George Frideric Handel,Messiah,2002,31
But Thanks Be To God,George Frideric Handel,Messiah,2002,152
But Thou Didst Not Leave,George Frideric Handel,Messiah,2002,167
Hallelujah Chorus,George Frideric Handel,Messiah,2002,251
He That Dwelleth In Heaven,George Frideric Handel,Messiah,2002,13
He Trusted In God,George Frideric Handel,Messiah,2002,143
He Was Cut Off,George Frideric Handel,Messiah,2002,20
How Beautiful Are The Feet,George Frideric Handel,Messiah,2002,137
I Know That My Redeemer Liveth,George Frideric Handel,Messiah,2002,396
If God Be For Us Who Can Be Against Us?,George Frideric Handel,Messiah,2002,296
Let All The Angels Of God,George Frideric Handel,Messiah,2002,90
Let Us Break Their Bonds Asunder,George Frideric Handel,Messiah,2002,111
Lift Up Your Heads,George Frideric Handel,Messiah,2002,197
"O Death, Where Is Thy Sting?",George Frideric Handel,Messiah,2002,72
Since By Man Came Death,George Frideric Handel,Messiah,2002,141
The Lord Gave The Word,George Frideric Handel,Messiah,2002,77
The Trumpet Shall Sound,George Frideric Handel,Messiah,2002,529
Their Sound Is Gone Out,George Frideric Handel,Messiah,2002,98
Then Shall Be Brought To Pass,George Frideric Handel,Messiah,2002,18
Thou Art Gone Up On High,George Frideric Handel,Messiah,2002,196
Thou Shalt Break Them,George Frideric Handel,Messiah,2002,127
Thy Rebuke Hath Broken His Heart,George Frideric Handel,Messiah,2002,97
Unto Which Of The Angels,George Frideric Handel,Messiah,2002,20
Why Do The Nations,George Frideric Handel,Messiah,2002,89
Worthy Is The Lamb,George Frideric Handel,Messiah,2002,438
"Jesu, Joy Of Man's Desiring",Johann Sebastian Bach,"Bach: Brandenburg Concerto #2, Double Violin Concerto, Etc.",2003,215
Arabian Coffee,Peter Ilyich Tchaikovsky,Nutcracker,2005,196
Chinese Tea,Peter Ilyich Tchaikovsky,Nutcracker,2005,76
Clara & Nutcracker,Peter Ilyich Tchaikovsky,Nutcracker,2005,214
Clowns,Peter Ilyich Tchaikovsky,Nutcracker,2005,97
Finale,Peter Ilyich Tchaikovsky,Nutcracker,2005,327
French Doll,Peter Ilyich Tchaikovsky,Nutcracker,2005,70
Jester,Peter Ilyich Tchaikovsky,Nutcracker,2005,45
Lambs,Peter Ilyich Tchaikovsky,Nutcracker,2005,154
Magic Castle,Peter Ilyich Tchaikovsky,Nutcracker,2005,251
Mice,Peter Ilyich Tchaikovsky,Nutcracker,2005,268
Russian Doll,Peter Ilyich Tchaikovsky,Nutcracker,2005,86
Snowflakes,Peter Ilyich Tchaikovsky,Nutcracker,2005,424
Soldier Doll,Peter Ilyich Tchaikovsky,Nutcracker,2005,87
Spanish,Peter Ilyich Tchaikovsky,Nutcracker,2005,156
Spanish Solo,Peter Ilyich Tchaikovsky,Nutcracker,2005,79
Sugar Plum Fairy,Peter Ilyich Tchaikovsky,Nutcracker,2005,144
Waltz of the Flowers,Peter Ilyich Tchaikovsky,Nutcracker,2005,364
